,Number,Area,Perim,Width,Height,Circularity
0,1.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
1,2.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
2,3.0,0.758,13.074000000000002,5.974,0.985,0.055726543768754376
3,4.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
4,5.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
5,6.0,0.052000000000000005,1.591,0.7879999999999999,0.066,0.25815042737123106
6,7.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
7,8.0,0.039,1.121,0.525,0.131,0.3899987776620433
8,9.0,0.03,0.935,0.46,0.066,0.43122893812322355
9,10.0,0.069,2.117,1.05,0.066,0.19347160688543602
10,11.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
11,12.0,0.284,8.274,3.9389999999999996,0.525,0.052131133854012364
12,13.0,0.168,2.2569999999999997,0.853,0.39399999999999996,0.4144346203211516
13,14.0,0.013000000000000001,0.41,0.19699999999999998,0.066,0.9718192622645407
14,15.0,0.11599999999999999,3.593,1.7069999999999999,0.263,0.11291546278800174
15,16.0,0.11599999999999999,3.122,1.444,0.32799999999999996,0.14955538521497372
16,17.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
17,18.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
18,19.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
19,20.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
20,21.0,0.03,0.9890000000000001,0.46,0.131,0.38542380587961517
21,22.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
22,23.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
23,24.0,0.207,4.968999999999999,2.2319999999999998,0.6559999999999999,0.10535186205074598
24,25.0,0.017,0.595,0.263,0.131,0.6034271603533817
25,26.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
26,27.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
27,28.0,0.013000000000000001,0.41,0.19699999999999998,0.066,0.9718192622645407
28,29.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
29,30.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
30,31.0,0.013000000000000001,0.41,0.19699999999999998,0.066,0.9718192622645407
31,32.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
32,33.0,0.009000000000000001,0.317,0.066,0.131,1.1254698079315404
