,Number,Area,Perim,Width,Height,Circularity
0,1.0,0.049,0.9570000000000001,0.396,0.198,0.672329346981434
1,2.0,0.049,0.899,0.396,0.198,0.7618799780049758
2,3.0,2.721,32.602,14.767000000000001,1.685,0.03216991546164275
3,4.0,0.069,1.097,0.496,0.198,0.7205194346982472
4,5.0,0.02,0.42,0.198,0.099,1.424758573056596
5,6.0,0.01,0.28,0.099,0.099,1.6028533946886698
6,7.0,0.265,5.376,2.676,0.099,0.11522247981567316
7,8.0,0.02,0.42,0.198,0.099,1.424758573056596
8,9.0,0.08800000000000001,1.808,0.892,0.099,0.3382950817359202
9,10.0,0.02,0.42,0.198,0.099,1.424758573056596
10,11.0,0.028999999999999998,0.619,0.297,0.099,0.9511008370278187
11,12.0,0.028999999999999998,0.619,0.297,0.099,0.9511008370278187
12,13.0,0.049,1.015,0.496,0.099,0.5976870684594139
13,14.0,0.02,0.42,0.198,0.099,1.424758573056596
14,15.0,0.01,0.28,0.099,0.099,1.6028533946886698
15,16.0,0.02,0.42,0.198,0.099,1.424758573056596
16,17.0,0.01,0.28,0.099,0.099,1.6028533946886698
17,18.0,0.01,0.28,0.099,0.099,1.6028533946886698
18,19.0,0.02,0.42,0.198,0.099,1.424758573056596
19,20.0,0.049,1.015,0.496,0.099,0.5976870684594139
20,21.0,0.01,0.28,0.099,0.099,1.6028533946886698
21,22.0,0.049,1.015,0.496,0.099,0.5976870684594139
22,23.0,0.01,0.28,0.099,0.099,1.6028533946886698
23,24.0,0.02,0.42,0.198,0.099,1.424758573056596
24,25.0,0.01,0.28,0.099,0.099,1.6028533946886698
25,26.0,0.049,1.015,0.496,0.099,0.5976870684594139
26,27.0,0.02,0.42,0.198,0.099,1.424758573056596
27,28.0,0.028999999999999998,0.619,0.297,0.099,0.9511008370278187
28,29.0,0.02,0.42,0.198,0.099,1.424758573056596
29,30.0,0.01,0.28,0.099,0.099,1.6028533946886698
30,31.0,0.354,6.792000000000001,2.775,0.6940000000000001,0.0964312444914396
31,32.0,0.02,0.42,0.198,0.099,1.424758573056596
32,33.0,22.68,163.85,57.778999999999996,39.346,0.010615978316751118
33,34.0,0.02,0.42,0.198,0.099,1.424758573056596
34,35.0,0.01,0.28,0.099,0.099,1.6028533946886698
35,36.0,0.11800000000000001,1.74,0.6940000000000001,0.496,0.4897713477653529
36,37.0,0.01,0.28,0.099,0.099,1.6028533946886698
37,38.0,0.039,0.701,0.297,0.198,0.9973289715731303
38,39.0,0.02,0.42,0.198,0.099,1.424758573056596
39,40.0,0.138,1.8559999999999999,0.6940000000000001,0.396,0.5034229458459418
40,41.0,0.462,7.865,3.469,1.189,0.09385434554311796
41,42.0,0.01,0.28,0.099,0.099,1.6028533946886698
42,43.0,0.01,0.28,0.099,0.099,1.6028533946886698
43,44.0,0.01,0.28,0.099,0.099,1.6028533946886698
44,45.0,0.01,0.28,0.099,0.099,1.6028533946886698
45,46.0,0.059000000000000004,0.899,0.396,0.198,0.9173656878019096
46,47.0,0.059000000000000004,1.097,0.496,0.198,0.6160963282202404
47,48.0,0.01,0.28,0.099,0.099,1.6028533946886698
48,49.0,0.039,0.899,0.396,0.198,0.6063942682080419
49,50.0,0.21600000000000003,3.258,1.189,0.496,0.2557180919255451
50,51.0,0.01,0.28,0.099,0.099,1.6028533946886698
51,52.0,0.47100000000000003,7.457999999999999,3.072,1.5859999999999999,0.10641087469579662
52,53.0,0.02,0.42,0.198,0.099,1.424758573056596
53,54.0,0.01,0.28,0.099,0.099,1.6028533946886698
54,55.0,0.01,0.28,0.099,0.099,1.6028533946886698
55,56.0,0.01,0.28,0.099,0.099,1.6028533946886698
56,57.0,2.662,37.154,14.172,10.704,0.024232976527136265
57,58.0,0.01,0.28,0.099,0.099,1.6028533946886698
58,59.0,0.039,0.701,0.297,0.198,0.9973289715731303
59,60.0,0.039,0.899,0.396,0.198,0.6063942682080419
60,61.0,0.059000000000000004,1.0390000000000001,0.396,0.297,0.6868007813161494
61,62.0,0.039,1.0390000000000001,0.297,0.297,0.4539869571411835
62,63.0,0.196,2.557,0.991,0.496,0.3767076843378706
63,64.0,0.039,0.841,0.297,0.297,0.6929190151580599
64,65.0,0.11800000000000001,1.798,0.6940000000000001,0.496,0.4586828439009548
65,66.0,0.01,0.28,0.099,0.099,1.6028533946886698
66,67.0,0.01,0.28,0.099,0.099,1.6028533946886698
