,Number,Area,Perim,Width,Height,Circularity
0,1.0,0.017,0.541,0.263,0.066,0.7299014983688928
1,2.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
2,3.0,0.017,0.541,0.263,0.066,0.7299014983688928
3,4.0,0.42200000000000004,10.922,5.317,0.19699999999999998,0.04445472935755139
4,5.0,0.022000000000000002,0.672,0.32799999999999996,0.066,0.6122009493602558
5,6.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
6,7.0,0.013000000000000001,0.41,0.19699999999999998,0.066,0.9718192622645407
7,8.0,0.013000000000000001,0.41,0.19699999999999998,0.066,0.9718192622645407
8,9.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
9,10.0,0.039,1.198,0.591,0.066,0.34147651062845963
10,11.0,0.026000000000000002,0.804,0.39399999999999996,0.066,0.505441752638144
11,12.0,0.026000000000000002,0.804,0.39399999999999996,0.066,0.505441752638144
12,13.0,0.10300000000000001,3.167,1.575,0.066,0.12904790604153196
13,14.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
14,15.0,0.026000000000000002,0.804,0.39399999999999996,0.066,0.505441752638144
15,16.0,0.065,2.04,0.985,0.131,0.19627405082981214
16,17.0,1.8869999999999998,25.98,11.290999999999999,2.6910000000000003,0.035132048264306694
17,18.0,0.03,0.935,0.46,0.066,0.43122893812322355
18,19.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
19,20.0,0.10300000000000001,2.9360000000000004,1.379,0.263,0.15015333625971156
20,21.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
21,22.0,0.017,0.541,0.263,0.066,0.7299014983688928
22,23.0,0.017,0.541,0.263,0.066,0.7299014983688928
23,24.0,0.017,0.541,0.263,0.066,0.7299014983688928
24,25.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
25,26.0,0.013000000000000001,0.41,0.19699999999999998,0.066,0.9718192622645407
26,27.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
27,28.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
28,29.0,4.046,41.979,18.118,5.12,0.02885171043043776
29,30.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
30,31.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
31,32.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
32,33.0,0.004,0.18600000000000003,0.066,0.066,1.4529275771024592
33,34.0,0.009000000000000001,0.27899999999999997,0.131,0.066,1.4529275771024601
