 ,Area,Mean,Min,Max,XM,YM,Perim.,BX,BY,Width,Height
1,0.022,255,255,255,32.908,0.676,0.634,32.757,0.591,0.263,0.131
2,0.022,255,255,255,33.210,0.676,0.595,33.085,0.591,0.263,0.131
3,1.194,255,255,255,38.985,1.025,21.594,33.413,0.591,9.781,1.116
4,0.030,255,255,255,31.027,0.802,0.727,30.853,0.722,0.328,0.131
5,0.009,255,255,255,38.731,0.755,0.279,38.665,0.722,0.131,0.066
6,0.004,255,255,255,33.775,0.821,0.186,33.742,0.788,0.066,0.066
7,0.116,255,255,255,34.759,0.821,3.561,33.873,0.788,1.772,0.066
8,0.009,255,255,255,35.777,0.821,0.279,35.711,0.788,0.131,0.066
9,0.039,255,255,255,32.790,0.886,1.198,32.494,0.853,0.591,0.066
10,0.009,255,255,255,37.024,0.886,0.279,36.958,0.853,0.131,0.066
11,0.013,255,255,255,29.901,0.952,0.410,29.803,0.919,0.197,0.066
12,0.013,255,255,255,31.936,0.952,0.410,31.838,0.919,0.197,0.066
13,0.022,255,255,255,37.779,0.952,0.672,37.615,0.919,0.328,0.066
14,0.009,255,255,255,29.672,1.018,0.279,29.606,0.985,0.131,0.066
15,0.004,255,255,255,38.501,1.018,0.186,38.468,0.985,0.066,0.066
16,0.009,255,255,255,29.278,1.083,0.279,29.212,1.050,0.131,0.066
17,0.004,255,255,255,30.624,1.083,0.186,30.591,1.050,0.066,0.066
18,0.004,255,255,255,28.720,1.149,0.186,28.687,1.116,0.066,0.066
19,0.009,255,255,255,28.424,1.214,0.279,28.359,1.182,0.131,0.066
20,0.022,255,255,255,29.705,1.214,0.672,29.540,1.182,0.328,0.066
21,0.004,255,255,255,28.129,1.280,0.186,28.096,1.247,0.066,0.066
22,0.022,255,255,255,29.311,1.280,0.672,29.147,1.247,0.328,0.066
23,0.004,255,255,255,27.735,1.346,0.186,27.702,1.313,0.066,0.066
24,0.009,255,255,255,28.950,1.346,0.279,28.884,1.313,0.131,0.066
25,0.004,255,255,255,17.954,1.411,0.186,17.921,1.379,0.066,0.066
26,0.022,255,255,255,28.589,1.411,0.672,28.424,1.379,0.328,0.066
27,0.009,255,255,255,28.162,1.477,0.279,28.096,1.444,0.131,0.066
28,0.013,255,255,255,27.866,1.543,0.410,27.768,1.510,0.197,0.066
29,0.009,255,255,255,27.637,1.608,0.279,27.571,1.575,0.131,0.066
30,0.004,255,255,255,43.293,1.608,0.186,43.260,1.575,0.066,0.066
31,0.155,255,255,255,26.402,1.889,4.498,25.602,1.641,1.838,0.460
32,0.009,255,255,255,43.523,1.674,0.279,43.457,1.641,0.131,0.066
33,9.950,255,255,255,17.038,10.454,108.529,2.691,1.838,38.271,26.061
34,0.009,255,255,255,43.982,1.871,0.279,43.917,1.838,0.131,0.066
35,0.004,255,255,255,25.372,2.002,0.186,25.339,1.969,0.066,0.066
36,0.052,255,255,255,44.475,2.106,1.152,44.245,1.969,0.460,0.328
37,0.004,255,255,255,25.175,2.068,0.186,25.142,2.035,0.066,0.066
38,0.017,255,255,255,44.869,2.166,0.464,44.770,2.101,0.197,0.131
39,0.009,255,255,255,25.339,2.199,0.279,25.273,2.166,0.131,0.066
40,0.060,255,255,255,45.253,2.307,1.229,45.033,2.166,0.460,0.263
41,0.203,255,255,255,23.944,2.681,5.209,22.779,2.298,2.298,0.788
42,0.004,255,255,255,44.803,2.330,0.186,44.770,2.298,0.066,0.066
43,0.004,255,255,255,45.722,2.396,0.186,45.689,2.363,0.066,0.066
44,0.004,255,255,255,46.904,2.790,0.186,46.871,2.757,0.066,0.066
45,0.004,255,255,255,22.746,2.921,0.186,22.713,2.888,0.066,0.066
46,0.026,255,255,255,32.691,2.965,0.595,32.560,2.888,0.263,0.131
47,0.026,255,255,255,41.389,3.020,0.727,41.225,2.954,0.328,0.131
48,0.004,255,255,255,22.680,3.118,0.186,22.648,3.085,0.066,0.066
49,0.017,255,255,255,41.882,3.151,0.595,41.750,3.085,0.263,0.131
50,0.095,255,255,255,22.057,3.345,2.158,21.663,3.217,0.788,0.328
